"eid"	"prism.doi"	"pii"	"dc.title"	"prism.coverDate"	"prism.volume"	"prism.pageRange"	"dc.creator"	"citedby.count"	"article.number"	"source.id"	"pubmed.id"	"dc.identifier"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"dominant_topic"	"eid"	"pii"	"neg"	"neu"	"pos"	"compound"	"eid"	"pii"	"year"
"2-s2.0-84996118325"	"10.1016/S0047-2484(81)80060-7"	"S0047248481800607"	"On the geographical distribution of primates in China"	"1981-01-01"	10	"215-218"	"Zhang Y."	27	NA	18927	NA	"SCOPUS_ID:84996118325"	0	0.6	0.08	0	0	0	0	0.02	0	0.3	1	"2-s2.0-84996118325"	"S0047248481800607"	0.042	0.91	0.047	-0.128	"2-s2.0-84996118325"	"S0047248481800607"	"1981"
"2-s2.0-0036836010"	"10.1006/jhev.2002.0595"	"S0047248402905956"	"Vertebrae numbers of the early hominid lumbar spine"	"2002-01-01"	43	"621-643"	"Haeusler M."	72	NA	18927	12457852	"SCOPUS_ID:0036836010"	0.16	0	0.16	0	0.13	0	0	0.55	0	0	7	"2-s2.0-0036836010"	"S0047248402905956"	0.041	0.932	0.027	-0.9931	"2-s2.0-0036836010"	"S0047248402905956"	"2002"
"2-s2.0-0017029797"	"10.1016/0047-2484(76)90001-4"	"47248476900014"	"The stature of Australopithecines"	"1976-01-01"	5	"529-534"	"Olivier G."	41	NA	18927	NA	"SCOPUS_ID:0017029797"	0.01	0	0.38	0.61	0	0	0	0	0	0	3	"2-s2.0-0017029797"	"47248476900014"	0.031	0.901	0.069	0.9933	"2-s2.0-0017029797"	"47248476900014"	"1976"
"2-s2.0-85016418600"	"10.1016/j.jhevol.2017.02.007"	"S0047248417300891"	"Scaling of rotational inertia of primate mandibles"	"2017-05-01"	106	"119-132"	"Ross C.F."	7	NA	18927	28434536	"SCOPUS_ID:85016418600"	0	0	0	0.31	0	0.67	0	0	0.02	0	5	"2-s2.0-85016418600"	"S0047248417300891"	0.023	0.853	0.124	1	"2-s2.0-85016418600"	"S0047248417300891"	"2017"
"2-s2.0-0030975149"	"10.1006/jhev.1996.0117"	"S0047248496901177"	"Fossil clavicle of a Middle Pleistocene hominid from the Central Narmada Valley, India"	"1997-01-01"	32	"3-16"	"Sankhyan A."	24	NA	18927	9034953	"SCOPUS_ID:0030975149"	0.32	0.49	0.08	0.05	0	0	0.01	0.05	0	0	1	"2-s2.0-0030975149"	"S0047248496901177"	0.004	0.958	0.039	0.9847	"2-s2.0-0030975149"	"S0047248496901177"	"1997"
"2-s2.0-0022403951"	"10.1016/S0047-2484(85)80075-0"	"S0047-2484(85)80075-0"	"C-band variability in the common chimpanzee, Pan troglodytes"	"1985-01-01"	14	"669-675"	"Marks J."	18	NA	18927	NA	"SCOPUS_ID:0022403951"	0	0	0.68	0	0	0	0	0.04	0	0.28	2	"2-s2.0-0022403951"	"S0047-2484(85)80075-0"	0.036	0.903	0.061	0.9922	"2-s2.0-0022403951"	"S0047-2484(85)80075-0"	"1985"
"2-s2.0-79956146924"	"10.1016/j.jhevol.2011.02.011"	"S0047248411000649"	"Analysis of orientation patterns in Olduvai Bed I assemblages using GIS techniques: Implications for site formation processes"	"2011-01-01"	61	"50-60"	"Benito-Calvo A."	54	NA	18927	NA	"SCOPUS_ID:79956146924"	0	0.24	0	0.01	0	0.03	0.72	0	0	0	6	"2-s2.0-79956146924"	"S0047248411000649"	0.043	0.89	0.067	0.9992	"2-s2.0-79956146924"	"S0047248411000649"	"2011"
"2-s2.0-0032890515"	"10.1006/jhev.1998.0262"	"S0047248498902627"	"South Turkwel: A new Pliocene hominid site in Kenya"	"1999-01-01"	36	"69-95"	"Ward C."	54	NA	18927	9924134	"SCOPUS_ID:0032890515"	0.01	0.35	0	0.01	0.18	0	0	0.45	0	0	7	"2-s2.0-0032890515"	"S0047248498902627"	0.008	0.911	0.082	0.9982	"2-s2.0-0032890515"	"S0047248498902627"	"1999"
"2-s2.0-55749087228"	"10.1016/j.jhevol.2008.08.010"	"S0047248408001632"	"Dating the demise: Neandertal extinction and the establishment of modern humans in the southern Caucasus"	"2008-01-01"	55	"817-833"	"Adler D.S."	57	NA	18927	18930307	"SCOPUS_ID:55749087228"	0.02	0	0.02	0	0	0	0.95	0	0.02	0	6	"2-s2.0-55749087228"	"S0047248408001632"	0.024	0.903	0.073	0.9999	"2-s2.0-55749087228"	"S0047248408001632"	"2008"
"2-s2.0-0028852312"	"10.1006/jhev.1995.1005"	"S0047248485710056"	"Paleobiogeography of the Malawi Rift: Age and vertebrate paleontology of the Chiwondo Beds, northern Malawi"	"1995-01-01"	28	"37-57"	"Bromage T."	45	NA	18927	NA	"SCOPUS_ID:0028852312"	0	1	0	0	0	0	0	0	0	0	1	"2-s2.0-0028852312"	"S0047248485710056"	0.005	0.946	0.048	0.9666	"2-s2.0-0028852312"	"S0047248485710056"	"1995"
"2-s2.0-85081248279"	"10.1016/j.jhevol.2020.102742"	"S0047248420300038"	"Enamel chipping in Taï Forest cercopithecids: Implications for diet reconstruction in paleoanthropological contexts"	"2020-04-01"	141	"xx-xx"	"Fannin L.D."	3	102742	18927	32179368	"SCOPUS_ID:85081248279"	0	0.02	0	0	0	0.49	0	0	0.21	0.27	5	"2-s2.0-85081248279"	"S0047248420300038"	0.034	0.915	0.051	0.9994	"2-s2.0-85081248279"	"S0047248420300038"	"2020"
"2-s2.0-0034115986"	"10.1006/jhev.1999.0383"	"S0047248499903834"	"The environmental contexts of early human occupation of Georgia (Transcaucasia)"	"2000-01-01"	38	"785-802"	"Gabunia L."	116	NA	18927	10835262	"SCOPUS_ID:0034115986"	0.17	0.47	0	0	0.21	0	0.16	0	0	0	1	"2-s2.0-0034115986"	"S0047248499903834"	0.02	0.933	0.047	0.9816	"2-s2.0-0034115986"	"S0047248499903834"	"2000"
"2-s2.0-0021262833"	"10.1016/S0047-2484(84)80077-9"	"S0047248484800779"	"The relationship between biological and cultural evolution"	"1984-01-01"	13	"71-79"	"Reynolds V."	5	NA	18927	NA	"SCOPUS_ID:0021262833"	0	0	0.75	0	0	0	0	0	0	0.25	2	"2-s2.0-0021262833"	"S0047248484800779"	0.075	0.791	0.135	0.9996	"2-s2.0-0021262833"	"S0047248484800779"	"1984"
"2-s2.0-85073591797"	"10.1016/j.jhevol.2019.102645"	"S0047248419300685"	"A late Miocene hominid partial pelvis from Hungary"	"2019-11-01"	136	"xx-xx"	"Ward C.V."	10	102645	18927	31537304	"SCOPUS_ID:85073591797"	0.01	0.01	0	0.17	0.08	0	0	0.74	0	0	7	"2-s2.0-85073591797"	"S0047248419300685"	0.025	0.897	0.078	1	"2-s2.0-85073591797"	"S0047248419300685"	"2019"
"2-s2.0-0022297822"	"10.1016/S0047-2484(85)80050-6"	"S0047248485800506"	"Small populations: Demography and paleoanthropological inferences"	"1985-01-01"	14	"683-691"	"Jean-Pierre "	12	NA	18927	NA	"SCOPUS_ID:0022297822"	0.25	0	0.66	0	0	0	0.08	0	0	0.01	2	"2-s2.0-0022297822"	"S0047248485800506"	0.035	0.897	0.068	0.9962	"2-s2.0-0022297822"	"S0047248485800506"	"1985"
"2-s2.0-0016754366"	"10.1016/0047-2484(75)90010-X"	"0047-2484(75)90010-X"	"A twins-method heritability estimate of extremity surface temperatures during exposure to a standardized cold-stress"	"1975-01-01"	4	"235-249"	"Koertvelyessy T."	1	NA	18927	NA	"SCOPUS_ID:0016754366"	0	0	0.93	0.07	0	0	0	0	0	0	2	"2-s2.0-0016754366"	"0047-2484(75)90010-X"	0.049	0.845	0.106	0.9998	"2-s2.0-0016754366"	"0047-2484(75)90010-X"	"1975"
"2-s2.0-0018100946"	"10.1016/S0047-2484(78)80006-2"	"S0047248478800062"	"Skeletal development of an orang-utan premature Newborn: A comparative study with man"	"1978-01-01"	7	"143-149"	"Torre C."	2	NA	18927	NA	"SCOPUS_ID:0018100946"	0	0	0.36	0.08	0.03	0	0	0.36	0	0.16	2	"2-s2.0-0018100946"	"S0047248478800062"	0.03	0.864	0.105	0.9988	"2-s2.0-0018100946"	"S0047248478800062"	"1978"
"2-s2.0-77952741388"	"10.1016/j.jhevol.2010.03.004"	"S0047248410000436"	"The Olduvai Hominid 8 foot: Adult or subadult?"	"2010-01-01"	58	"418-423"	"DeSilva J."	12	NA	18927	NA	"SCOPUS_ID:77952741388"	0.04	0	0	0.04	0.37	0	0.01	0.49	0.04	0.01	7	"2-s2.0-77952741388"	"S0047248410000436"	0.041	0.892	0.067	0.9979	"2-s2.0-77952741388"	"S0047248410000436"	"2010"
"2-s2.0-85062263428"	"10.1016/j.jhevol.2019.102652"	"S0047248418303002"	"Predictive modelling in paleoenvironmental reconstruction: The micromammals of Manot Cave, Israel"	"2019-01-01"	NA	"xx-xx"	"Comay O."	12	102652	18927	31623862	"SCOPUS_ID:85062263428"	0	0.35	0	0	0	0.1	0.49	0	0.04	0.01	6	"2-s2.0-85062263428"	"S0047248418303002"	0.031	0.911	0.058	0.9996	"2-s2.0-85062263428"	"S0047248418303002"	"2019"
"2-s2.0-0017066708"	"10.1016/0047-2484(76)90038-5"	"47248476900385"	"Multivariate discrimination, tooth measurements and early hominid taxonomy"	"1976-01-01"	5	"xx-xx"	"Wolpoff M."	3	NA	18927	NA	"SCOPUS_ID:0017066708"	0	0	0.38	0.02	0.29	0.29	0	0	0.02	0	2	"2-s2.0-0017066708"	"47248476900385"	0.044	0.866	0.089	0.9982	"2-s2.0-0017066708"	"47248476900385"	"1976"
"2-s2.0-85057129344"	"10.1016/j.jhevol.2018.08.005"	"S0047248417303585"	"New fossils, systematics, and biogeography of the oldest known crown primate Teilhardina from the earliest Eocene of Asia, Europe, and North America"	"2019-03-01"	128	"103-131"	"Morse P.E."	7	NA	18927	30497682	"SCOPUS_ID:85057129344"	0	0.29	0.03	0	0	0.08	0	0.28	0.33	0	8	"2-s2.0-85057129344"	"S0047248417303585"	0.036	0.907	0.057	0.9998	"2-s2.0-85057129344"	"S0047248417303585"	"2019"
"2-s2.0-84919628859"	"10.1016/j.jhevol.2014.10.007"	"S0047248414002474"	"Neanderthal megafaunal exploitation in Western Europe and its dietary implications: A contextual reassessment of La Cotte de St Brelade (Jersey)"	"2015-01-01"	78	"181-201"	"Smith G."	31	NA	18927	25454779	"SCOPUS_ID:84919628859"	0.08	0.08	0	0	0	0.01	0.82	0	0	0.01	6	"2-s2.0-84919628859"	"S0047248414002474"	0.033	0.892	0.074	0.9999	"2-s2.0-84919628859"	"S0047248414002474"	"2015"
"2-s2.0-33746265444"	"10.1016/j.jhevol.2006.02.004"	"S0047248406000364"	"Effects of activity pattern on eye size and orbital aperture size in primates"	"2006-01-01"	51	"159-170"	"Kirk E."	63	NA	18927	16620912	"SCOPUS_ID:33746265444"	0	0	0	0.01	0.01	0.74	0	0.23	0	0.01	5	"2-s2.0-33746265444"	"S0047248406000364"	0.017	0.918	0.065	0.9998	"2-s2.0-33746265444"	"S0047248406000364"	"2006"
"2-s2.0-84865557438"	"10.1016/j.jhevol.2012.06.006"	"S0047248412001169"	"A comparative study of the trabecular bony architecture of the talus in humans, non-human primates, and Australopithecus"	"2012-01-01"	63	"536-551"	"DeSilva J."	51	NA	18927	22840715	"SCOPUS_ID:84865557438"	0	0	0	0.43	0.08	0.06	0	0.31	0	0.12	3	"2-s2.0-84865557438"	"S0047248412001169"	0.024	0.897	0.078	0.9999	"2-s2.0-84865557438"	"S0047248412001169"	"2012"
"2-s2.0-84919665294"	"10.1016/j.jhevol.2014.08.010"	"S0047248414002024"	"Inferring the use of forelimb suspensory locomotion by extinct primate species via shape exploration of the ulna"	"2015-01-01"	78	"70-79"	"Rein T."	12	NA	18927	25234204	"SCOPUS_ID:84919665294"	0.01	0	0	0.14	0	0.21	0	0.62	0	0.01	7	"2-s2.0-84919665294"	"S0047248414002024"	0.018	0.909	0.073	0.9998	"2-s2.0-84919665294"	"S0047248414002024"	"2015"
"2-s2.0-1542416406"	"10.1016/S0047-2484(82)80038-9"	"S0047248482800389"	"The maxillary dentition of the iron-age population of alfedena (Middle-Adriatic area, Italy)"	"1982-01-01"	11	"219-235"	"Coppa A."	12	NA	18927	NA	"SCOPUS_ID:1542416406"	0.02	0	0.62	0.03	0	0	0	0	0.33	0.01	2	"2-s2.0-1542416406"	"S0047248482800389"	0.031	0.921	0.049	0.9983	"2-s2.0-1542416406"	"S0047248482800389"	"1982"
"2-s2.0-84937971930"	"10.1016/j.jhevol.2015.03.003"	"S0047248415000548"	"Humeral torsion and throwing proficiency in early human evolution"	"2015-08-01"	85	"198-205"	"Larson S."	13	NA	18927	25864628	"SCOPUS_ID:84937971930"	0.04	0	0.01	0.66	0.07	0	0	0.21	0	0	3	"2-s2.0-84937971930"	"S0047248415000548"	0.05	0.869	0.081	0.9992	"2-s2.0-84937971930"	"S0047248415000548"	"2015"
"2-s2.0-84944174527"	"10.1016/j.jhevol.2015.05.009"	"S0047248415001359"	"Hominin geographical range dynamics and relative brain size: Do non-human primates provide a good analogy?"	"2015-10-01"	87	"66-77"	"MacDonald K."	0	NA	18927	26077889	"SCOPUS_ID:84944174527"	0	0.27	0	0	0	0.52	0	0	0	0.21	5	"2-s2.0-84944174527"	"S0047248415001359"	0.019	0.889	0.092	0.9999	"2-s2.0-84944174527"	"S0047248415001359"	"2015"
"2-s2.0-0025995192"	"10.1016/0047-2484(91)90043-U"	"004724849190043U"	"Sexual dimorphism inAustralopithecus afarensis"	"1991-01-01"	20	"21-32"	"McHenry H."	89	NA	18927	NA	"SCOPUS_ID:0025995192"	0	0	0	0.56	0.31	0	0	0.1	0	0.03	3	"2-s2.0-0025995192"	"004724849190043U"	0.012	0.926	0.063	0.9996	"2-s2.0-0025995192"	"004724849190043U"	"1991"
"2-s2.0-84884594740"	"10.1016/j.jhevol.2013.07.010"	"S0047248413001711"	"Rotator cuff muscle function and its relation to scapular morphology in apes"	"2013-01-01"	65	"391-403"	"Larson S."	19	NA	18927	23968682	"SCOPUS_ID:84884594740"	0	0	0	0.59	0	0	0	0.33	0	0.08	3	"2-s2.0-84884594740"	"S0047248413001711"	0.025	0.888	0.087	0.9999	"2-s2.0-84884594740"	"S0047248413001711"	"2013"
"2-s2.0-0035998890"	"10.1006/jhev.2002.0545"	"S0047248402905452"	"Another look at shape variation in the distal femur of Australopithecus afarensis: Implications for taxonomic and functional diversity at Hadar"	"2002-01-01"	42	"609-626"	"Lague M."	26	NA	18927	11969299	"SCOPUS_ID:0035998890"	0.02	0	0	0.15	0.51	0.17	0	0.14	0	0	4	"2-s2.0-0035998890"	"S0047248402905452"	0.008	0.954	0.039	0.9916	"2-s2.0-0035998890"	"S0047248402905452"	"2002"
"2-s2.0-0001171685"	"10.1016/0047-2484(87)90020-0"	"47248487900200"	"Late pliocene hominid occupation in Central Africa: the setting, context, and character of the Senga 5A site, Zaire"	"1987-01-01"	16	"701-728"	"Harris J."	38	NA	18927	NA	"SCOPUS_ID:0001171685"	0	0.63	0	0	0.01	0	0.37	0	0	0	1	"2-s2.0-0001171685"	"47248487900200"	0.021	0.93	0.049	0.9996	"2-s2.0-0001171685"	"47248487900200"	"1987"
"2-s2.0-0018378728"	"10.1016/0047-2484(79)90089-7"	"47248479900897"	"Primate cranium morphology through ontogenesis and phylogenesis, factorial analysis of global variation"	"1979-01-01"	8	"233-234"	"Petit-Maire N."	0	NA	18927	NA	"SCOPUS_ID:0018378728"	0.22	0	0.5	0	0.04	0.24	0	0	0	0	2	"2-s2.0-0018378728"	"47248479900897"	0.033	0.868	0.099	0.9943	"2-s2.0-0018378728"	"47248479900897"	"1979"
"2-s2.0-0023571912"	"10.1016/0047-2484(87)90065-0"	"47248487900650"	"Sociobiology of the great apes and the hominid ancestor"	"1987-01-01"	16	"319-357"	"Ghiglieri M."	83	NA	18927	NA	"SCOPUS_ID:0023571912"	0	0	0.02	0	0	0	0	0.03	0	0.95	9	"2-s2.0-0023571912"	"47248487900650"	0.041	0.847	0.113	1	"2-s2.0-0023571912"	"47248487900650"	"1987"
"2-s2.0-70449107246"	"10.1016/j.jhevol.2009.06.002"	"S0047248409000876"	"Liang Bua Homo floresiensis mandibles and mandibular teeth: a contribution to the comparative morphology of a new hominin species"	"2009-01-01"	57	"571-596"	"Brown P."	75	NA	18927	19589559	"SCOPUS_ID:70449107246"	0.02	0	0.03	0.14	0.47	0.14	0.02	0	0.17	0.01	4	"2-s2.0-70449107246"	"S0047248409000876"	0.036	0.886	0.078	1	"2-s2.0-70449107246"	"S0047248409000876"	"2009"
"2-s2.0-0001666237"	"10.1016/0047-2484(88)90029-2"	"47248488900292"	"Buccal striations on fossil human anterior teeth: evidence of handedness in the middle and early Upper Pleistocene"	"1988-01-01"	17	"403-412"	"Bermúdez de Castro J."	115	NA	18927	NA	"SCOPUS_ID:0001666237"	0.27	0	0.08	0	0	0.05	0.24	0	0.36	0	8	"2-s2.0-0001666237"	"47248488900292"	0.04	0.9	0.06	0.9966	"2-s2.0-0001666237"	"47248488900292"	"1988"
"2-s2.0-0033369278"	"10.1006/jhev.1999.0316"	"S0047248499903160"	"Tool-using strategies by early hominids at Bed II, Olduvai Gorge, Tanzania"	"1999-01-01"	37	"807-831"	"Kimura Y."	57	NA	18927	10600321	"SCOPUS_ID:0033369278"	0	0.39	0	0	0	0	0.59	0	0	0.02	6	"2-s2.0-0033369278"	"S0047248499903160"	0.015	0.952	0.034	0.9812	"2-s2.0-0033369278"	"S0047248499903160"	"1999"
"2-s2.0-33747071792"	"10.1016/j.jhevol.2006.04.001"	"S0047248406000558"	"The application to bipeds of a geometric model of lower-limb-segment inertial properties"	"2006-01-01"	51	"320-326"	"Wall-Scheffler C."	9	NA	18927	16730780	"SCOPUS_ID:33747071792"	0	0	0.02	0.96	0	0	0	0	0	0.02	3	"2-s2.0-33747071792"	"S0047248406000558"	0.012	0.892	0.096	0.9996	"2-s2.0-33747071792"	"S0047248406000558"	"2006"
"2-s2.0-84855204028"	"10.1016/j.jhevol.2011.11.002"	"S004724841100217X"	"New early Miocene primate fossils from northern Patagonia, Argentina"	"2012-01-01"	62	"186-189"	"Kramarz A.G."	13	NA	18927	NA	"SCOPUS_ID:84855204028"	0.04	0.37	0	0	0	0	0	0.3	0.29	0	1	"2-s2.0-84855204028"	"S004724841100217X"	0.027	0.92	0.053	0.9919	"2-s2.0-84855204028"	"S004724841100217X"	"2012"
"2-s2.0-0036008039"	"10.1006/jhev.2001.0517"	"S0047248401905172"	"<sup>40</sup>Ar/<sup>39</sup>Ar dating of the Kapthurin Formation, Baringo, Kenya"	"2002-01-01"	42	"185-210"	"Deino A."	88	NA	18927	11795974	"SCOPUS_ID:0036008039"	0.01	0.69	0	0	0	0	0.3	0	0	0	1	"2-s2.0-0036008039"	"S0047248401905172"	0.011	0.959	0.031	0.9823	"2-s2.0-0036008039"	"S0047248401905172"	"2002"
"2-s2.0-0021174723"	"10.1016/S0047-2484(84)80008-1"	"S0047-2484(84)80008-1"	"Data transformations in multivariate morphometric analyses"	"1984-01-01"	13	"225-245"	"Hagaman R.M."	7	NA	18927	NA	"SCOPUS_ID:0021174723"	0	0	0.16	0.16	0.01	0.46	0	0.19	0	0	5	"2-s2.0-0021174723"	"S0047-2484(84)80008-1"	0.03	0.896	0.074	0.9998	"2-s2.0-0021174723"	"S0047-2484(84)80008-1"	"1984"
"2-s2.0-85088781014"	"10.1016/j.jhevol.2020.102850"	"S0047248420301111"	"A broader perspective on estimating dental age for the Xujiayao juvenile, a late Middle Pleistocene archaic hominin from East Asia"	"2020-11-01"	148	"xx-xx"	"Xing S."	0	102850	18927	NA	"SCOPUS_ID:85088781014"	0.24	0	0.1	0	0	0	0	0	0.57	0.09	8	"2-s2.0-85088781014"	"S0047248420301111"	0.01	0.914	0.076	0.9997	"2-s2.0-85088781014"	"S0047248420301111"	"2020"
"2-s2.0-84884588766"	"10.1016/j.jhevol.2013.07.012"	"S0047248413001838"	"Evaluating developmental shape changes in Homo antecessor subadult facial morphology"	"2013-01-01"	65	"404-423"	"Freidline S."	27	NA	18927	23998458	"SCOPUS_ID:84884588766"	0.57	0	0	0	0.16	0.28	0	0	0	0	0	"2-s2.0-84884588766"	"S0047248413001838"	0.026	0.91	0.065	0.9999	"2-s2.0-84884588766"	"S0047248413001838"	"2013"
"2-s2.0-0018195006"	"10.1016/S0047-2484(78)80007-4"	"S0047248478800074"	"Phenetic vs. cladistic systematics: A response to Thoma"	"1978-01-01"	7	"151-158"	"Pichardo M."	1	NA	18927	NA	"SCOPUS_ID:0018195006"	0.1	0.14	0.5	0	0.25	0	0	0.01	0	0	2	"2-s2.0-0018195006"	"S0047248478800074"	0.024	0.939	0.038	0.9901	"2-s2.0-0018195006"	"S0047248478800074"	"1978"
"2-s2.0-78149408110"	"10.1016/j.jhevol.2010.07.023"	"S0047248410001661"	"The costal skeleton of Homo antecessor: Preliminary results"	"2010-01-01"	59	"620-640"	"Gómez-Olivencia A."	24	NA	18927	NA	"SCOPUS_ID:78149408110"	0.93	0.01	0	0.03	0	0	0.02	0.01	0	0	0	"2-s2.0-78149408110"	"S0047248410001661"	0.029	0.909	0.063	0.9997	"2-s2.0-78149408110"	"S0047248410001661"	"2010"
